www.xcomspb.ru;td;class;vertical-middle price center;
www.citilink.ru;span;class;ProductHeader__price-default_current-price;
www.computermarket.ru;div;class;cnt-price add-tovar cf;
just.ru;div;class;product-availability-count;
www.knsneva.ru;span;class;price-val;
spb.123.ru;div;class;pc-mb-price;
videoglaz.ru;div;class;cenaWrap;
www.layta.ru;div;data-price;24;
www.123.ru;div;class;pc-raw-price;
lampslight.ru;div;class;product-price;
spbdevice.ru;span;class;product-price-data;
704ka.ru;span;class;price_value;
anlan.ru;span;class;amount-rubles fn_price;
www.voip-shop.ru;span;id;greenprice;
www.softmagazin.ru;span;class;price-field has-price;
promo.lite-mobile.ru;div;class;product-price__new;
3dtool.ru;div;class;product-item-detail-price-current js-base-price;
www.allcables.ru;div;class;idient_2;
automat-service.ru;span;id;total-sum-area-additional;
www.audiomania.ru;span;class;price-v3 price-sale;
www.kns.ru;span;class;price-val;
www.delo.spb.ru;span;class;actual-price;
www.techport.ru;div;class;tcp-product-body-set__new-price;
spb.muzmart.com;p;class;product_price;
www.foroffice.ru;span;class;prc;
